objectid,nombre,direccion,tipozona,no2,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,8.0,17.0,8.0,Tráfico,2025-10-20T15:00:00+0000,Razonablemente Buena,A03_MOLISOL_60m
14,Boulevar Sur,BULEVARD SUD,Urbana,18.0,,,Tráfico,2025-10-20T15:00:00+0000,Razonablemente Buena,A02_BULEVARDSUD_60m
12,Dr. Lluch,DR.LLUCH,Urbana,19.0,27.0,11.0,Tráfico,2025-10-20T15:00:00+0000,Razonablemente Buena,A08_DR_LLUCH_60m
21,Olivereta,OLIVERETA,Urbana,36.0,25.0,12.0,Tráfico,2025-10-20T15:00:00+0000,Razonablemente Buena,A10_OLIVERETA_60m
17,Universidad Politécnica,POLITÈCNIC,Suburbana,9.0,16.0,8.0,Fondo,2025-10-20T15:00:00+0000,Razonablemente Buena,A05_POLITECNIC_60m
18,Viveros,VIVERS,Urbana,10.0,,,Fondo,2025-10-20T15:00:00+0000,Razonablemente Buena,A06_VIVERS_60m
16,Pista de Silla,PISTA DE SILLA,Urbana,10.0,27.0,12.0,Tráfico,2025-10-20T15:00:00+0000,Razonablemente Buena,A04_PISTASILLA_60m
13,Francia,AVDA.FRANCIA,Urbana,15.0,27.0,10.0,Tráfico,2025-10-20T15:00:00+0000,Razonablemente Buena,A01_AVFRANCIA_60m
19,Centro,VALÈNCIA CENTRE,Urbana,20.0,24.0,10.0,Tráfico,2025-10-20T15:00:00+0000,Razonablemente Buena,A07_VALENCIACENTRE_60m
