objectid,nombre,direccion,tipozona,no2,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid
13,Francia,AVDA.FRANCIA,Urbana,27.0,18.0,9.0,Tráfico,2025-10-19T19:00:00+0000,Razonablemente Buena,A01_AVFRANCIA_60m
14,Boulevar Sur,BULEVARD SUD,Urbana,53.0,,,Tráfico,2025-10-19T19:00:00+0000,Razonablemente Buena,A02_BULEVARDSUD_60m
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,10.0,16.0,9.0,Tráfico,2025-10-19T19:00:00+0000,Razonablemente Buena,A03_MOLISOL_60m
21,Olivereta,OLIVERETA,Urbana,34.0,20.0,12.0,Tráfico,2025-10-19T19:00:00+0000,Razonablemente Buena,A10_OLIVERETA_60m
17,Universidad Politécnica,POLITÈCNIC,Suburbana,15.0,13.0,8.0,Fondo,2025-10-19T19:00:00+0000,Razonablemente Buena,A05_POLITECNIC_60m
16,Pista de Silla,PISTA DE SILLA,Urbana,14.0,19.0,11.0,Tráfico,2025-10-19T19:00:00+0000,Razonablemente Buena,A04_PISTASILLA_60m
19,Centro,VALÈNCIA CENTRE,Urbana,12.0,22.0,11.0,Tráfico,2025-10-19T19:00:00+0000,Razonablemente Buena,A07_VALENCIACENTRE_60m
20,Cabanyal,CABANYAL,Urbana,16.0,14.0,8.0,Fondo,2025-10-19T19:00:00+0000,Buena,A09_CABANYAL_60m
18,Viveros,VIVERS,Urbana,10.0,,,Fondo,2025-10-19T19:00:00+0000,Razonablemente Buena,A06_VIVERS_60m
